codigo_troquel;cilindro;repeat_in;repeat_mm;ancho_mm;largo_mm;ancho_in;largo_in;gap_ancho;gap_avance;ancho_banda;precorte_integrado;cavidades_ancho;cavidades_avance;forma;esquinas;precorte_entre_cavidades;familia_troquel
LR-132;99;12.38;314.3;101.6;101.6;4.0;4.0;0.125;0.125;8.625;NO;2;3; Cuadrada;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-133;102;12.75;323.9;101.6;50.8;4.0;2.0;0.125;0.125;8.625;NO;2;6;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-134;69;8.63;219.1;72.9;23.88;2.87;0.94;0.125;0.125;9.5;NO;3;8;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-135;90;11.25;285.8;101.6;139.7;4.0;5.5;0.125;0.125;9.5;NO;2;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-136;76;9.5;241.3;88.9;56.39;3.5;2.22;0.125;0.155;4.25;NO;1;4;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-137;66;8.25;209.6;50.8;48.01;2.0;1.89;0.125;0.175;5.11;NO;2;4;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-138;75;9.38;238.1;87.88;43.94;3.46;1.73;0.125;0.144;4.25;NO;1;5;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-139;78;9.75;247.7;79.76;32.0;3.14;1.26;0.125;0.133;4.0;NO;1;7;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-140;75;9.375;238.1;101.6;76.2;4.0;3.0;0.125;0.125;8.75;NO;2;3;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-141;82;10.25;260.4;76.2;39.68;3.0;1.562;0.125;0.125;10.0;NO;3;6;Rectangular;Rectas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-142;65;8.125;206.4;25.4;203.2;1.0;8.0;0.125;0.125;10.0;NO;8;1;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-143;99;12.375;314.3;76.2;101.6;3.0;4.0;0.125;0.125;10.25;NO;3;3;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-144;66;8.25;209.6;38.1;203.2;1.5;8.0;0.125;0.25;10.0;NO;6;1;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-145;78;9.75;247.7;63.5;38.1;2.5;1.5;0.125;0.125;8.5;NO;3;6;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-146;102;12.75;323.9;76.2;50.8;3.0;2.0;0.125;0.125;10.0;NO;2;6;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-147;78;9.75;247.7;101.6;38.1;4.0;1.5;0.0;0.0;8.84;NO;2;6;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-150;75;9.375;238.1;34.93;36.51;1.375;1.438;0.0;0.0;8.625;SI;5;6;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-151;72;9.0;228.6;50.8;25.4;2.0;1.0;0.125;0.125;10.0;NO;4;8;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-152;90;11.25;285.8;83.0;139.7;3.268;5.5;0.0;0.0;7.79;NO;2;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-153;122;15.25;387.4;101.6;381.0;4.0;15.0;0.0;0.0;8.625;NO;2;1;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-154;97;12.125;308.0;101.6;304.8;4.0;12.0;0.0;0.0;8.625;NO;2;1;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-156;72;9.0;228.6;16.37;13.73;0.645;0.541;0.0;0.0;5.0;NO;6;15;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-157;72;9.0;228.6;25.4;19.05;1.0;0.75;0.0;0.0;10.0;NO;10;8;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-159;84;10.5;266.7;101.6;41.27;4.0;1.625;0.0;0.0;8.625;NO;2;6;Rectangular;Redondas;SI;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-160;72;9.0;228.6;25.4;12.75;1.0;0.502;0.0;0.0;3.75;NO;3;14;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-161;72;9.0;228.6;15.5;13.0;0.61;0.512;0.0;0.0;3.5;NO;4;14;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-162;80;10.0;254.0;47.63;47.63;1.875;1.875;0.0;0.0;8.5;NO;4;5;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-166;72;9.0;228.6;34.92;25.4;1.375;1.0;0.0;0.0;9.5;NO;6;8;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
